datetime,heartrate
01/01/22 0:00,94
01/01/22 0:01,98
01/01/22 0:02,98
01/01/22 0:03,95
01/01/22 0:04,96
01/01/22 0:05,96
01/01/22 0:06,97
01/01/22 0:07,98
01/01/22 0:08,98
01/01/22 0:09,98
01/01/22 0:10,101
01/01/22 0:11,101
01/01/22 0:12,103
01/01/22 0:13,105
01/01/22 0:14,104
01/01/22 0:15,107
01/01/22 0:16,104
01/01/22 0:17,103
01/01/22 0:18,104
01/01/22 0:19,104
01/01/22 0:20,104
01/01/22 0:21,113
01/01/22 0:22,121
01/01/22 0:23,140
01/01/22 0:24,141
01/01/22 0:25,136
01/01/22 0:26,120
01/01/22 0:27,119
01/01/22 0:28,119
01/01/22 0:29,106
01/01/22 0:30,109
01/01/22 0:31,101
01/01/22 0:32,99
01/01/22 0:33,98
01/01/22 0:34,95
01/01/22 0:35,96
01/01/22 0:36,97
01/01/22 0:37,96
01/01/22 0:38,97
01/01/22 0:39,95
01/01/22 0:40,96
01/01/22 0:41,98
01/01/22 0:42,95
01/01/22 0:43,95
01/01/22 0:44,96
01/01/22 0:45,100
01/01/22 0:46,98
01/01/22 0:47,98
01/01/22 0:48,99
01/01/22 0:49,99
01/01/22 0:50,99
01/01/22 0:51,95
01/01/22 0:52,98
01/01/22 0:53,98
01/01/22 0:54,99
01/01/22 0:55,98
01/01/22 0:56,98
01/01/22 0:57,95
01/01/22 0:58,94
01/01/22 0:59,93
01/01/22 1:00,92
01/01/22 1:01,90
01/01/22 1:02,89
01/01/22 1:03,90
01/01/22 1:04,92
01/01/22 1:05,87
01/01/22 1:06,87
01/01/22 1:07,91
01/01/22 1:08,88
01/01/22 1:09,85
01/01/22 1:10,74
01/01/22 1:11,73
01/01/22 1:12,78
01/01/22 1:13,82
01/01/22 1:14,82
01/01/22 1:15,85
01/01/22 1:16,85
01/01/22 1:17,84
01/01/22 1:18,85
01/01/22 1:19,84
01/01/22 1:20,84
01/01/22 1:21,83
01/01/22 1:22,83
01/01/22 1:23,83
01/01/22 1:24,84
01/01/22 1:25,83
01/01/22 1:26,83
01/01/22 1:27,85
01/01/22 1:28,84
01/01/22 1:29,83
01/01/22 1:30,81
01/01/22 1:31,80
01/01/22 1:32,80
01/01/22 1:33,79
01/01/22 1:34,76
01/01/22 1:35,79
01/01/22 1:36,85
01/01/22 1:37,82
01/01/22 1:38,77
01/01/22 1:39,77
01/01/22 1:40,74
01/01/22 1:41,74
01/01/22 1:42,73
01/01/22 1:43,70
01/01/22 1:44,74
01/01/22 1:45,81
01/01/22 1:46,85
01/01/22 1:47,82
01/01/22 1:48,81
01/01/22 1:49,77
01/01/22 1:50,79
01/01/22 1:51,82
